"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"0.81","1.13","-0.13","280","64","88","262","0.94","1.73","1.11"
"1.76","0.99","0.8","356","70","50","267","0.01","1.21","0.83"
"1.01","0.7","-0.51","294","46","73","275","0.57","1.31","1.14"
"0.99","0.99","-0.02","373","58","78","277","0.79","1.5","1.15"
"1.09","1.47","0.67","266","76","86","282","1.13","2.11","1.04"
"1.07","1.13","0.27","263","62","67","284","0.47","1.18","1.18"
"1.71","1.39","1.25","285","76","45","292","-0.02","1.01","0.98"
"0.98","1.06","0.05","264","58","56","293","-0.03","0.81","1.21"
"1.34","1.53","1.04","276","81","57","354","0.09","1.14","0.93"
"0.79","1.26","0","265","88","85","290","-0.12","1.53","0.6"
