"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"0.84","1.74","0.54","262","85","75","266","0.1","1.17","0.91"
"0.84","0.79","-0.59","373","46","84","267","1.02","1.54","1.31"
"0.6","1.07","-0.63","280","61","86","276","0.49","1.21","1.16"
"1.51","1.58","1.26","282","74","55","277","0.46","1.19","1.16"
"1.37","1.17","0.68","275","79","70","264","0.29","1.66","0.74"
"1","1","0","354","49","81","285","1.3","1.63","1.52"
"1.57","0.81","0.35","284","69","61","265","0.03","1.46","0.7"
"1.2","0.83","0.01","263","53","50","293","-0.15","0.82","1.1"
"0.83","1.05","-0.2","292","60","68","356","0.13","0.94","1.17"
"1.41","0.45","-0.65","294","50","56","290","-0.44","1.15","0.64"
