"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FF","FS","G","PI","CV","FD","SG","FT","I","A","DD","DP","GS","GC","PP"
"1","Nathanael Ananias da Silva","nathan-silva","Nathan Silva","https://s.glbimg.com/es/sde/f/2020/03/03/b83d40e4104fc0cb62636da75ac2daaa_FORMATO.png",95794,16,294,"mei","Dúvida",0,1.96,0,1.3,5,"Coritiba",3,9,13,1,5,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Leandro Henrique do Nascimento","leandrinho","Leandrinho","https://s.glbimg.com/es/sde/f/2020/08/21/0a104e26afc93ebbbf158e5bfc8a3400_FORMATO.png",91702,16,280,"ata","Dúvida",0,2.25,-0.18,0.9,6,"280",NA,2,2,3,6,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2020/07/21/86994a3b5f98e1f43ef23a09d56aa65c_FORMATO.png",42500,16,264,"lat","Provável",6,11.14,0.43,2.75,10,"264",2,27,12,2,8,1,117,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"4","Matheus Bueno Batista","matheus-bueno","Matheus Bueno","https://s.glbimg.com/es/sde/f/2020/03/03/a159f5ccd62c81f4ada32db91977a6be_FORMATO.png",101832,16,294,"mei","Nulo",1.8,2.42,0.01,1.43,13,"Coritiba",1,19,13,2,14,NA,41,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Luis Manuel Orejuela García","orejuela","Orejuela","https://s.glbimg.com/es/sde/f/2020/07/19/2277b33232bf3b6a9c2e569271b9f87d_FORMATO.png",95352,16,284,"lat","Provável",0,9.18,0,3.75,11,"284",1,27,18,5,15,NA,123,NA,3,4,1,1,NA,NA,NA,NA,NA,NA
"6","Gabriel Santos Cordeiro Lacerda","gabriel-lacerda","Gabriel Lacerda","https://s.glbimg.com/es/sde/f/2020/07/21/3dc2061d37b1f85d9dd8d9dd72cb35de_FORMATO.png",108176,16,354,"zag","Nulo",0,3.37,0,3.01,8,"354",NA,6,3,NA,3,NA,32,NA,1,3,NA,NA,1,NA,NA,NA,NA,NA
"7","Henrique Vermudt","henrique-vermudt","Henrique Vermudt","https://s.glbimg.com/es/sde/f/2020/03/03/935e5497d5d03ac1eefea34e909731cf_FORMATO.png",104504,16,294,"mei","Dúvida",0.5,1.65,-0.35,0.5,1,"Coritiba",NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Walter Kannemann","kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2018/05/21/7a4b8f949ed4d8b668d8c40a33e50edb_FORMATO.png",87342,16,284,"zag","Provável",0,11.23,0,4.28,6,"284",3,20,18,1,9,NA,20,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA
"9","Natanael Moreira Milouski","natanael","Natanael","https://s.glbimg.com/es/sde/f/2020/03/03/2c9e5951bc7a8dfb8ed3c7f7759e59f6_FORMATO.png",107554,16,294,"lat","Provável",2.4,1.97,-0.4,2.01,9,"Coritiba",NA,18,14,2,10,NA,40,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA
"10","Jean Pyerre Casagrande Silveira Correa","jean-pyerre","Jean Pyerre","https://s.glbimg.com/es/sde/f/2019/07/09/c0831db56540c4e253fdd6affa63d176_FORMATO.png",98832,16,284,"mei","Nulo",0,12.85,0,4.7,4,"284",NA,8,3,8,6,NA,25,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA
