"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","DS","FC","FS","G","PI","CA","FF","A","SG","GS","I","DD","FD","FT","CV","GC","PP"
"1","Jorge de Moura Xavier","jorginho","Jorginho","https://s.glbimg.com/es/sde/f/2020/02/27/851090fa3a68b14a9b55eb825b21a6f9_FORMATO.png",77544,2,373,"mei","Provável",12.2,9.85,3.85,12.2,1,"Atlético-GO",4,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/07/16/1dd17b686beb984f6b1468e01a4359b5_FORMATO.png",39850,2,373,"tec","Provável",8.89,5.42,3.42,8.89,1,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Dorival Silvestre Júnior","dorival-junior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2020/07/16/ec131d189cf34596591ae2d9d86d1cf5_FORMATO.png",40990,2,293,"tec","Provável",3.32,10.47,0.82,4.81,2,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Alexandre de Almeida da Silva Junior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2020/03/13/7c86524fe7de88fe7eaf75ee5df21eb2_FORMATO.png",107677,2,267,"mei","Nulo",0,3,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,2,293,"zag","Provável",-0.4,6.48,-2.52,-0.4,1,"Athlético-PR",1,1,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,2,293,"lat","Nulo",0,5,0,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bruno Gomes da Silva Clevelário","bruno-gomes","Bruno Gomes","https://s.glbimg.com/es/sde/f/2019/09/06/986758e25f86ab2290e8f5c208a3b91a_FORMATO.jpeg",106202,2,267,"mei","Nulo",-0.1,2.91,-1.09,-0.1,1,"Vasco",NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,2,293,"lat","Nulo",-1.8,11.11,-1.07,4,2,"Athlético-PR",1,1,NA,NA,5,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"9","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,2,293,"mei","Dúvida",6,15.1,2.2,7.9,2,"Athlético-PR",4,1,3,1,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,2,293,"gol","Provável",-2.8,6.15,-3.85,-2.8,1,"Athlético-PR",NA,NA,NA,NA,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"11","Maurício Kozlinski","mauricio-kozlinski","Maurício Kozlinski","https://s.glbimg.com/es/sde/f/2020/02/27/c1afaadaf0bd3588434aa47a13df9b8a_FORMATO.png",72595,2,373,"gol","Nulo",0,4,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Ramon de Morais Motta ","ramon","Ramon","https://s.glbimg.com/es/sde/f/2018/09/27/7b0ec92bd9cd8803ca0b44dec6637586_FORMATO.png",68896,2,267,"lat","Contundido",0,7,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/11/e9da062d8d871c42bec83c2f50387e58_FORMATO.png",62128,2,293,"ata","Nulo",0,5,0,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Carlos Eduardo Ferreira de Souza","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/02/28/005f1178dd64dc721696b75d13b446ab_FORMATO.png",90917,2,293,"ata","Dúvida",7,5.5,2.38,3.65,2,"Athlético-PR",NA,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Moacir Costa da Silva","moacir","Moacir","https://s.glbimg.com/es/sde/f/2020/02/27/9937a66467916c4528d3b0575c53418f_FORMATO.png",60858,2,373,"mei","Nulo",-1.2,1.69,-1.31,-1.2,1,"Atlético-GO",NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Danilo Alves da Silva","danilo","Danilo","",107981,2,373,"zag","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2019/03/30/79dd4d1b071e14e833f4b54ceaba247a_FORMATO.png",62129,2,293,"mei","Provável",0.7,4.01,-0.99,0.7,1,"Athlético-PR",1,2,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,2,293,"mei","Nulo",0,4.93,0,0.8,1,"Athlético-PR",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Yeferson Julio Soteldo Martínez","soteldo","Soteldo","https://s.glbimg.com/es/sde/f/2020/02/28/1ad66e771f5acc6f55ab13d6cdc8b6f4_FORMATO.png",87258,2,277,"ata","Provável",-0.8,4.18,-1.84,-0.25,2,"Santos",NA,1,2,NA,13,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"20","Jandrei Chitolina Carniel","jandrei","Jandrei","https://s.glbimg.com/es/sde/f/2020/02/28/a43448ab0640bf1b8aba905b26aeb462_FORMATO.png",86508,2,293,"gol","Nulo",0,10.29,0,8.2,1,"Athlético-PR",NA,NA,NA,NA,8,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"21","Felipe Aguilar Mendoza","aguilar","Aguilar","https://s.glbimg.com/es/sde/f/2020/07/11/d7b3953a6bffe509daca41ab80ac36ae_FORMATO.png",95494,2,293,"zag","Dúvida",0,7.54,0,5.4,1,"Athlético-PR",NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"22","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2020/07/11/aa08b8bb889d2e350b8c0e20f8570d70_FORMATO.png",73896,2,293,"ata","Dúvida",-0.1,3.65,-1.35,-0.1,1,"Athlético-PR",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Matheus Cotulio Bossa","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/02/27/b29083c8515a9ac734ff21095aeb1a72_FORMATO.png",78424,2,373,"mei","Nulo",0,5,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Erick Luis Conrado de Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png",98022,2,293,"mei","Contundido",0,4,0,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Pedro Gabriel Pereira Lopes","pedrinho","Pedrinho","https://s.glbimg.com/es/sde/f/2019/09/30/6a55930690acaca09d4ef83e23d8e8fd_FORMATO.png",100103,2,293,"ata","Nulo",0,3,0,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Fernando Canesin Matos","fernando-canesin","Fernando Canesin","https://s.glbimg.com/es/sde/f/2020/01/21/b9b4d67aae6f6afee4097184bf8cc32d_FORMATO.png",81585,2,293,"mei","Nulo",0,2.11,-0.5,0.3,2,"Athlético-PR",1,1,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Guilherme Bissoli Campos","bissoli","Bissoli","https://s.glbimg.com/es/sde/f/2020/03/03/9afb408f4d0f07b2b83a6b6e179b3766_FORMATO.png",100762,2,293,"ata","Nulo",0,3,0,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Vitor Hugo Naum dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/08/09/4c1f2f2ebbf72fa37a797a53aababd3a_FORMATO.png",101960,2,293,"ata","Provável",18.2,18.99,8.7,14.7,2,"Athlético-PR",4,4,3,2,13,NA,1,1,NA,NA,NA,NA,2,1,NA,NA,NA
"29","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/07/21/01b5e26f1af011bdac8d661b9dd04e59_FORMATO.png",78435,2,262,"ata","Nulo",-0.9,7.16,-1.75,1.2,2,"Flamengo",2,2,2,NA,12,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Raul Prata","raul-prata","Raul Prata","https://s.glbimg.com/es/sde/f/2020/02/27/9cee4ad663339179015a63de55e0cde2_FORMATO.png",84855,2,292,"lat","Contundido",0,5,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Ewandro Felipe de Lima Costa","ewandro","Ewandro","https://s.glbimg.com/es/sde/f/2020/02/27/d5b995944c7d11fd5c7b2acaca3fa3f8_FORMATO.png",86842,2,292,"ata","Nulo",0,3,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Lucas Halter","lucas-halter","Lucas Halter","https://s.glbimg.com/es/sde/f/2019/05/18/8451dd8fd1ce139e8f57e002de068475_FORMATO.png",102253,2,293,"zag","Dúvida",2.5,4.07,0.07,2.5,1,"Athlético-PR",NA,1,1,NA,5,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Sander Henrique Bortolotto","sander","Sander","https://s.glbimg.com/es/sde/f/2020/02/27/a37c5329c7b02ddb15c081c9d02ebed3_FORMATO.png",86391,2,292,"lat","Provável",9.1,11.36,3.17,6.7,2,"Sport",12,1,8,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Leandro Barcia Montero","leandro-barcia","Leandro Barcia","https://s.glbimg.com/es/sde/f/2020/02/27/78521d3f41f6e49002ef62386b998bb7_FORMATO.png",91242,2,292,"ata","Contundido",0,7,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
