"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","DS","FC","FS","PI","SG","FD","FF","FT","G","I","PP","DD","GS","GC","DP","CV"
"1","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,18,293,"lat","Nulo",0,9.64,0,3.07,8,"293",1,2,8,4,4,45,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2020/09/11/e6334f42f000ffd6983a97fbf4f01ae2_FORMATO.png",37281,18,265,"tec","Provável",0,6.94,0,2.57,6,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","João Alves de Assis Silva","jo","Jô","https://s.glbimg.com/es/sde/f/2020/07/21/71eb3b59df93d002977cbc1dcaa52025_FORMATO.png",38138,18,264,"ata","Nulo",0,10.67,0,2.51,13,"264",1,NA,NA,9,13,49,NA,5,5,1,3,5,1,NA,NA,NA,NA,NA
"4","Augusto Sérgio Ferreira","guto-ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2020/07/19/37fe3fab756c44fa3a64d440c3298942_FORMATO.png",37245,18,354,"tec","Provável",3.79,8.82,0.22,3.59,17,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2020/08/26/6c38445bf76b8b26d2b258cbcbf30a9d_FORMATO.jpeg",37655,18,290,"ata","Provável",-1.5,5.61,-0.88,2.81,9,"290",NA,2,4,20,9,48,NA,4,6,NA,4,12,NA,NA,NA,NA,NA,NA
"6","Paulo César Autuori de Mello","paulo-autuori","Paulo Autuori","https://s.glbimg.com/es/sde/f/2020/10/21/a61792c7a74e5f1d704faca06e9143e6_FORMATO.png",36943,18,293,"tec","Provável",1.28,7.93,-0.6,3.19,12,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2020/03/01/71d59c690cc2fcd14acc5c49fbe44148_FORMATO.png",38140,18,354,"gol","Provável",5.4,6.82,1.68,3.46,17,"354",NA,2,NA,NA,2,151,5,NA,NA,NA,NA,NA,NA,25,24,NA,NA,NA
"8","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2020/08/11/1546fc5edcfb41d2e8f79f6eca1f6899_FORMATO.png",38162,18,266,"ata","Suspenso",4.2,4,0.01,2.28,11,"266",2,3,1,12,19,36,NA,3,2,NA,2,2,NA,NA,NA,NA,NA,NA
"9","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2020/03/01/07d469e7953e91ccc61088458f4c6397_FORMATO.png",37798,18,354,"ata","Nulo",0,5.74,0,1.29,14,"354",NA,2,5,7,2,30,NA,5,10,3,NA,1,NA,NA,NA,NA,NA,NA
"10","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,18,284,"mei","Nulo",0,3.51,0,0.55,8,"284",NA,1,7,5,2,27,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2020/09/19/e5c460787ad23defe1b6fa4efa97c721_FORMATO.png",38277,18,292,"mei","Provável",-1.5,3.96,-0.93,2.35,11,"292",2,1,5,4,3,67,NA,6,6,NA,1,NA,NA,NA,NA,NA,NA,NA
"12","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/10/17/872eda934e6fd1fe19b16842c52b0fb9_FORMATO.png",39850,18,264,"tec","Provável",0,7,0,3.47,16,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2020/07/21/13c7ce26874ca832a2aa481d63ff0347_FORMATO.png",38750,18,262,"lat","Provável",8.1,7.31,0.3,3.96,13,"Flamengo",1,3,39,15,17,111,3,2,1,1,1,1,NA,NA,NA,1,NA,NA
"14","Daniel Alves da Silva","daniel-alves","Daniel Alves","https://s.glbimg.com/es/sde/f/2020/03/09/9996d55cd79f9deac2e370cbb20e3d36_FORMATO.png",38939,18,276,"mei","Provável",0,10.74,0,2.31,9,"276",NA,2,18,21,19,100,NA,3,9,NA,1,2,NA,NA,NA,NA,NA,NA
"15","Alan Steven Franco Palma","franco","Franco","https://s.glbimg.com/es/sde/f/2020/08/31/b9998b0398f68bde01652c40392cd3be_FORMATO.png",39656,18,282,"mei","Provável",1.6,5.06,0.43,2.33,14,"282",NA,NA,13,22,12,56,NA,3,4,NA,3,1,NA,NA,NA,NA,NA,NA
"16","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2020/08/11/672d352606042414d4d148952612fe89_FORMATO.png",42145,18,266,"lat","Nulo",0,9.3,0,4.22,11,"266",2,NA,43,14,6,143,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2019/09/24/0f7dce66e695049e222a3bb848eb993d_FORMATO.png",42116,18,275,"ata","Nulo",0.3,9.94,-0.3,3.46,16,"275",2,NA,6,11,18,30,NA,3,12,NA,4,5,1,NA,NA,NA,NA,NA
