Atleta,Rodada,Clube,Participou,Posicao,Jogos,Pontos,PontosMedia,Preco,PrecoVariacao,Partida,Mando,Titular,Substituido,TempoJogado,Nota,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS
36443,0,,0,,0,0,0,9,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36443,1,285,1,1,1,5,5,10.6,1.6,179879,1,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36443,2,285,1,1,2,-3,1,8.27,-2.33,179882,0,1,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
36443,3,285,1,1,3,-2.6,-0.2,6.81,-1.46,179904,1,1,0,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36443,4,285,1,1,4,4,0.85,7.96,1.15,179922,1,1,0,1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
36443,5,285,1,1,5,5,1.68,8.61,0.65,179943,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36443,6,285,1,1,6,1.2,1.6,8.02,-0.59,179952,0,1,0,1,5,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1
36443,7,285,1,1,7,-3.3,0.9,6.75,-1.27,179986,1,1,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
36443,8,285,1,1,8,3,1.16,7.55,0.8,180008,1,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
36443,9,285,1,1,9,-1.5,0.86,6.71,-0.84,180015,0,1,0,1,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36443,10,285,1,1,10,-4,0.37,6.01,-0.7,180034,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
36443,11,285,1,1,11,4.7,0.76,7.54,1.53,180050,1,1,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36443,12,285,1,1,12,5.2,1.13,7.81,0.27,180060,0,1,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36443,13,285,1,1,13,7.4,1.61,8.55,0.74,180075,1,1,0,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
36443,14,285,1,1,14,8,2.07,9.01,0.46,180091,1,1,0,1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
36443,15,285,1,1,15,4.7,2.25,8.71,-0.3,180110,0,1,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36443,16,285,1,1,16,-2,1.98,7.35,-1.36,180121,1,1,0,1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36443,17,285,1,1,17,-2.3,1.73,7.24,-0.11,180130,0,1,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36443,18,285,1,1,18,8.5,2.11,9.18,1.94,180139,0,1,0,1,7.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
36443,19,285,1,1,19,-3,1.84,7.11,-2.07,180174,1,1,0,1,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
36443,20,285,1,1,20,-1,1.7,7.36,0.25,179907,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
36443,21,285,1,1,21,5,1.86,8.39,1.03,179932,1,0,1,0.455555555555556,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36443,22,285,1,1,22,4.7,1.99,8.46,0.07,179940,0,1,0,1,7.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36443,23,285,1,1,23,17.4,2.66,10.92,2.46,179967,0,1,0,1,8.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
36443,24,285,1,1,24,8,2.88,9.72,-1.2,179987,1,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
36443,25,285,1,1,25,2,2.84,8.76,-0.96,180007,1,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
36443,26,285,1,1,26,2,2.81,8.77,0.01,180024,0,1,0,1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
36443,27,285,1,1,27,-10.5,2.32,6.36,-2.41,180087,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,4
36443,28,,0,,27,0,2.32,6.36,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36443,29,285,0,1,27,0,2.32,6.36,0,180252,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36443,30,285,0,1,27,0,2.32,6.36,0,180226,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
